BAÞ;ÝÞARET;ORTA;YÜZÜK;SERÇE;X;Y
2618;2524;697;4095;3172;3110;2878
2623;2528;964;4095;3123;3107;3023
2598;2577;2671;4095;3335;3098;2865
2600;2600;2318;4014;3266;3107;2864
2650;2625;2687;4095;3387;3107;2864
2629;2460;871;4095;3452;3129;2865
2658;2490;828;3771;3235;3183;2877
2634;2509;0;4095;3162;3132;2875
2793;2530;1420;3447;3147;2763;2864
1994;2444;2862;4095;3331;3133;2845
2618;2487;3006;4095;3410;3105;2844
2616;2522;2720;4095;3434;3110;2868
2730;2363;1128;3447;3488;3136;2867
2643;2363;656;3204;3320;3149;3071
2685;2349;1025;3335;3265;3041;2891
2666;2487;2633;3771;3387;3149;2847
2600;2573;2890;3933;3463;3107;2864
2688;2616;2855;3771;3494;3106;2871
2993;2528;2583;3609;3566;3089;2875
